"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too many mismatches"	"Unmapped: too short"	"Unmapped: other"
"20220228_Meso_Pspe_10_C_T2_Pspe_Cgoreaui"	9650646	653581	12042	1443053	13808785	17910
"20220228_Meso_Pspe_10_C_T3_Pspe_Cgoreaui"	12641709	844596	11622	1371316	10709567	5117
"20220228_Meso_Pspe_10_H_T2_Pspe_Cgoreaui"	10182708	437035	6139	1372492	12048518	460765
"20220228_Meso_Pspe_10_L_T2_Pspe_Cgoreaui"	8421085	570368	12190	1227602	9669355	25907
"20220228_Meso_Pspe_10_L_T3_Pspe_Cgoreaui"	10743428	782276	13719	1337763	10024063	4581
"20220228_Meso_Pspe_10_M_T2_Pspe_Cgoreaui"	7776343	464917	10474	1464322	11965226	305617
"20220228_Meso_Pspe_10_M_T3_Pspe_Cgoreaui"	9440425	587782	14870	1143983	15421109	58666
"20220228_Meso_Pspe_10_T0_Pspe_Cgoreaui"	11172241	740890	16389	1857123	16402566	57468
"20220228_Meso_Pspe_10_TF_Pspe_Cgoreaui"	6747757	444566	6674	893562	16382781	4896
"20220228_Meso_Pspe_1_C_T2_Pspe_Cgoreaui"	8359149	555370	9723	989257	10149414	4013
"20220228_Meso_Pspe_1_C_T3_Pspe_Cgoreaui"	10076838	694273	11046	1397726	9792876	2198
"20220228_Meso_Pspe_1_H_T2_Pspe_Cgoreaui"	10109410	525652	6059	1319442	11397125	418418
"20220228_Meso_Pspe_1_L_T2_Pspe_Cgoreaui"	9599081	603701	11389	1201985	10073884	10751
"20220228_Meso_Pspe_1_L_T3_Pspe_Cgoreaui"	9798104	655430	9167	1124862	13408356	4999
"20220228_Meso_Pspe_1_M_T2_Pspe_Cgoreaui"	10170102	533096	5107	1286887	10620232	122777
"20220228_Meso_Pspe_1_M_T3_Pspe_Cgoreaui"	6893230	339404	5233	946205	17333455	58818
"20220228_Meso_Pspe_1_T0_Pspe_Cgoreaui"	10535614	609479	6576	1054108	13497730	2571
"20220228_Meso_Pspe_1_TF_Pspe_Cgoreaui"	4415096	224167	2683	521263	19895697	0
"20220228_Meso_Pspe_3_C_T2_Pspe_Cgoreaui"	9136340	641460	12325	1226728	9948494	73646
"20220228_Meso_Pspe_3_H_T2_Pspe_Cgoreaui"	10284593	412626	4130	1027730	11968473	424602
"20220228_Meso_Pspe_3_L_T2_Pspe_Cgoreaui"	9182010	614313	12805	1263367	13206816	112191
"20220228_Meso_Pspe_3_L_T3_Pspe_Cgoreaui"	10653317	678847	9917	1255514	13771084	5275
"20220228_Meso_Pspe_3_M_T2_Pspe_Cgoreaui"	8387940	462009	9408	1212858	14057909	320332
"20220228_Meso_Pspe_3_M_T3_Pspe_Cgoreaui"	4887260	229315	4301	652597	19236549	90360
"20220228_Meso_Pspe_3_T0_Pspe_Cgoreaui"	7693936	476144	8172	1099838	18269999	16539
"20220228_Meso_Pspe_3_TF_Pspe_Cgoreaui"	8060838	565316	9116	1557885	24193641	6878
"20220228_Meso_Pspe_6_C_T2_Pspe_Cgoreaui"	10959028	730831	11435	1360238	11053139	7235
"20220228_Meso_Pspe_6_C_T3_Pspe_Cgoreaui"	11816125	837789	12063	1426515	10165134	4852
"20220228_Meso_Pspe_6_H_T2_Pspe_Cgoreaui"	11636695	472315	2830	1082138	9661294	71073
"20220228_Meso_Pspe_6_L_T2_Pspe_Cgoreaui"	12180344	766010	11098	1481493	13140322	11035
"20220228_Meso_Pspe_6_L_T3_Pspe_Cgoreaui"	9718996	681211	9674	1146892	11333856	2289
"20220228_Meso_Pspe_6_M_T2_Pspe_Cgoreaui"	8231696	513990	7990	1271171	14624643	32088
"20220228_Meso_Pspe_6_M_T3_Pspe_Cgoreaui"	7566950	485926	7751	986219	12999557	17650
"20220228_Meso_Pspe_6_T0_Pspe_Cgoreaui"	9872049	634686	9079	1276872	13486804	5057
"20220228_Meso_Pspe_6_TF_Pspe_Cgoreaui"	5000474	331986	4435	732424	18100296	2417
"20220228_Meso_Pspe_8_C_T2_Pspe_Cgoreaui"	10742031	709180	11065	1246723	12024450	4947
"20220228_Meso_Pspe_8_C_T3_Pspe_Cgoreaui"	9738771	714680	12847	1434291	12486622	4879
"20220228_Meso_Pspe_8_H_T2_Pspe_Cgoreaui"	9205000	571951	5269	1264602	10598361	47721
"20220228_Meso_Pspe_8_L_T2_Pspe_Cgoreaui"	10695374	749885	15674	1610484	10847433	7179
"20220228_Meso_Pspe_8_L_T3_Pspe_Cgoreaui"	11204753	723059	10217	1257723	11607268	2481
"20220228_Meso_Pspe_8_M_T2_Pspe_Cgoreaui"	9230168	646926	8703	1549043	13794822	40432
"20220228_Meso_Pspe_8_T0_Pspe_Cgoreaui"	8369361	584035	11016	1257010	13137854	7009
"20220228_Meso_Pspe_8_TF_Pspe_Cgoreaui"	9443033	586614	8478	1164346	15996156	2720
